,T-1,T-2,T-3,T-4,T-24,T-48,T-72,T-96,DAY,SEASON,TEMP,HUMIDITY,T
5342,5926.973940452243,5960.833801689408,5807.116024568478,6064.810543718575,5908.848028751035,4142.450653668067,4751.77746751676,4884.31399531193,1.0,0.0,83.0,80.0,5533.5403315637805
5343,5533.5403315637805,5926.973940452243,5960.833801689408,5807.116024568478,5618.668896704983,4583.976385279487,4624.326240892611,4850.1579533866725,1.0,0.0,81.0,91.0,5348.659496313071
5344,5348.659496313071,5533.5403315637805,5926.973940452243,5960.833801689408,5362.498582265545,4435.574272086986,4596.100740932469,4760.056670376939,1.0,0.0,81.0,91.0,5639.614587120914
5345,5639.614587120914,5348.659496313071,5533.5403315637805,5926.973940452243,5020.938163012964,3717.7084943819896,4326.358076364923,4240.060376928612,1.0,0.0,81.0,91.0,4933.351817775821
5346,4933.351817775821,5639.614587120914,5348.659496313071,5533.5403315637805,4846.919018376519,947.3884904699866,1047.544328417657,1024.6812577577475,1.0,0.0,84.0,82.0,972.3473426070542
5347,972.3473426070542,4933.351817775821,5639.614587120914,5348.659496313071,1086.22102295067,981.8389810325315,1038.8147923475096,1085.1904527201664,1.0,0.0,84.0,82.0,964.1071108900451
5348,964.1071108900451,972.3473426070542,4933.351817775821,5639.614587120914,1016.2894715950764,981.8389810325315,927.0767306496263,964.613735751259,1.0,0.0,84.0,82.0,929.0486704940434
5349,929.0486704940434,964.1071108900451,972.3473426070542,4933.351817775821,990.5252158324895,880.4014254872602,800.0619808289854,870.9790690940856,1.0,0.0,77.0,93.0,799.4522989447212
5350,799.4522989447212,929.0486704940434,964.1071108900451,972.3473426070542,914.2630187752318,846.5398321992888,691.9612258269966,785.5889642809399,1.0,0.0,77.0,93.0,747.3141055352828
5351,747.3141055352828,799.4522989447212,929.0486704940434,964.1071108900451,846.5398321992888,846.5398321992888,675.0841227580455,666.042817542536,1.0,0.0,77.0,93.0,712.5553099289906
5352,712.5553099289906,747.3141055352828,799.4522989447212,929.0486704940434,2241.942316605848,1608.4256811786486,1912.7383478144623,1740.0875233159966,0.0,0.0,80.0,93.0,634.2977903414136
5353,634.2977903414136,712.5553099289906,747.3141055352828,799.4522989447212,2394.910981752505,1608.4256811786486,1912.7383478144623,1740.0875233159966,0.0,0.0,80.0,93.0,634.2977903414136
5354,634.2977903414136,634.2977903414136,712.5553099289906,747.3141055352828,2687.8137636934594,1608.4256811786486,2248.9986915958843,1823.7455773215734,0.0,0.0,80.0,93.0,623.3616215424238
5355,623.3616215424238,634.2977903414136,634.2977903414136,712.5553099289906,3064.31744196334,1594.4393709075298,2567.8865657773904,2498.975192347455,0.0,0.0,82.0,80.0,623.3616215424238
5356,623.3616215424238,623.3616215424238,634.2977903414136,634.2977903414136,3378.4950039736627,1829.9982807368972,2718.938716705472,2880.7469031485566,0.0,0.0,82.0,80.0,653.7695055201029
5357,653.7695055201029,623.3616215424238,623.3616215424238,634.2977903414136,4614.529761525003,2226.0316978875207,4320.739303545169,4350.218808289991,0.0,0.0,82.0,80.0,1235.7870742858577
5358,1235.7870742858577,653.7695055201029,623.3616215424238,623.3616215424238,5185.05344113173,3083.318905347774,5298.60322797433,5042.180034116988,0.0,0.0,82.0,87.0,1404.0973794605557
