,X1,X2,X3,X4,X5,X6,X7
85,0.0,0.241577,3.0803413,0.0,3.2825027,2.2696345,0.6543444
86,0.49105367,1.0778917,2.7093444,0.0,2.2622638,2.2729592,0.13568616
87,0.43341947,0.7811755,1.3417178,0.0,1.0651927,1.0338869,0.13411717
88,0.21452603,0.6086914,0.9939804,0.0,0.7258361,0.3658723,0.32592365
89,0.89502937,1.3527185,1.6226584,0.0,0.8609516,1.0243248,0.045107096
90,0.0,0.5234941,2.3501685,0.0,2.310946,1.5932437,0.4760626
91,0.33967665,0.62058735,0.9520813,0.0,0.75257534,0.6457302,0.18352288
92,0.052892193,0.00973003,0.3215469,0.0,0.365842,0.1966296,0.31138068
93,1.1197802,1.9054871,3.2098985,0.0,2.1453643,2.4277654,0.0
94,0.0,0.038587634,0.81649923,0.0,0.9037507,0.43994224,0.43859944
95,0.0,0.0067630447,0.7192654,0.0,0.81292087,0.4068224,0.4136414
96,0.18558234,1.0211785,3.3412225,0.0,2.972631,2.6452963,0.31076062
97,0.21024442,1.0351598,3.2948518,0.0,2.905846,2.5927005,0.30563116
98,0.0,0.51218474,3.7695508,0.0,3.8350344,2.8323486,0.6367646
99,0.0,0.0052212216,2.6622615,0.0,2.9914393,1.9255229,0.6958083
100,0.0,0.28381273,3.0934143,0.0,3.2760377,2.2487164,0.65317214
101,0.5198313,1.193096,2.9576125,0.0,2.454431,2.4525476,0.13566342
102,0.008056015,0.10233438,0.6679584,0.0,0.7006293,0.44554615,0.33729663
103,0.0,0.2508789,3.4107757,0.0,3.6431146,2.5279744,0.6997858
104,0.16838886,0.21404363,0.41359934,0.0,0.3564222,0.20799173,0.2697042
105,0.49813962,1.3943244,3.3481855,0.0,2.8084638,2.6941693,0.1564213
106,0.0,0.6945907,3.7602367,0.0,3.6677516,2.8080316,0.5677595
107,0.0,0.14440343,2.8591852,0.0,3.1116693,2.0880873,0.6644065
108,0.36677712,0.97778046,2.465847,0.0,2.0031621,1.8332195,0.27075684
109,0.27831882,0.76494324,2.220347,0.0,1.9477262,1.8078588,0.22484085
110,0.0,0.61418176,2.7179885,0.0,2.5946884,2.0967,0.40239128
111,0.0,0.53072584,3.639912,0.0,3.673398,2.729254,0.61041504
112,0.0,0.0,0.5810832,0.0,0.6614953,0.33065727,0.3846436
113,0.0,0.0,0.598163,0.0,0.6781694,0.33879292,0.389373
114,0.0,0.6496496,3.8183537,0.0,3.7822986,2.8689775,0.5887785
115,0.38244855,0.553312,0.5033179,0.0,0.23740253,0.12587425,0.21118161
116,0.089824975,1.007151,3.4658475,0.0,3.1696863,2.741175,0.33216164
117,0.20898676,1.0032694,3.1360404,0.0,2.7827692,2.4750695,0.28717032
118,0.0,0.0,0.5868695,0.0,0.6680017,0.33443618,0.3858092
119,0.44465804,0.5965408,0.39215344,0.0,0.09755115,0.035189983,0.18394461
120,0.0,0.30694255,2.5057392,0.0,2.595047,1.7460301,0.5776968
121,0.96864843,1.4734683,1.7257706,0.0,0.8988988,1.0911585,0.01874265
122,0.33207163,0.6564027,1.5457027,0.0,1.2854927,1.2055256,0.20580304
123,0.81651515,1.5162765,2.6639266,0.0,1.8238072,1.8700944,0.111133724
124,0.0,0.6198696,3.8152702,0.0,3.799628,2.8947015,0.5882314
125,0.5588122,1.2926762,3.2634993,0.0,2.7318563,2.77162,0.10761869
126,0.40032792,0.8632167,1.7198093,0.0,1.408531,1.3118602,0.16624144
127,0.44635886,0.8961109,1.8380796,0.0,1.51121,1.4880023,0.13491547
128,0.0,0.014411423,1.2380589,0.0,1.4370406,0.7658784,0.49481314
129,0.32308143,0.62929225,1.3869511,0.0,1.1473701,1.053028,0.20595512
130,0.0,0.3870606,3.250817,0.0,3.3685448,2.3804383,0.6312305
131,0.0,0.5127717,1.9353861,0.0,1.8089747,1.3822844,0.37660635
132,0.0989598,1.0971823,3.3966935,0.0,3.0647838,2.5766265,0.35303432
133,0.5531572,1.3725836,3.5970194,0.0,3.0383642,3.0519853,0.111127436
134,0.15435016,1.0417513,3.547267,0.0,3.1849856,2.8259592,0.32170984
135,0.008198589,0.2201078,0.95406646,0.0,0.933508,0.6179181,0.3549422
136,0.0,0.32291982,3.2835402,0.0,3.4572423,2.4161873,0.6572113
137,0.12973195,0.8330957,1.9820081,0.0,1.654973,1.1286769,0.38169065
